sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
HGLibA_41005	NRP2	4900.2	5767.1	4900.2	5767.1	0.23497	3.7577e+05	2.1598e+05	1.8654	0.96894	0.031063	0.062126	0.15562	True
brunello_FAM26F_2	FAM26F	6147.2	5162.6	6147.2	5162.6	-0.25178	4.8469e+05	2.7859e+05	1.8654	0.031065	0.96894	0.062129	0.15562	False
brunello_PTPRN2_1	PTPRN2	10005	8710.5	10005	8710.5	-0.19981	8.3732e+05	4.8138e+05	1.8652	0.031079	0.96892	0.062157	0.15566	False
HGLibA_22176	HES1	3356.2	2655.3	3356.2	2655.3	-0.33783	2.4562e+05	1.4122e+05	1.8651	0.031083	0.96892	0.062165	0.15566	False
brunello_B2M_2	B2M	6275.4	7271.2	6275.4	7271.2	0.21246	4.9583e+05	2.8512e+05	1.8649	0.9689	0.031095	0.062191	0.15569	True
HGLibB_14431	EDEM1	5375.7	6288.4	5375.7	6288.4	0.22621	4.1654e+05	2.3965e+05	1.8645	0.96887	0.031128	0.062255	0.15583	True
brunello_SYTL2_3	SYTL2	5377.6	4464.8	5377.6	4464.8	-0.26834	4.1668e+05	2.3975e+05	1.8644	0.031133	0.96887	0.062266	0.15583	False
HGLibB_43184	SEC24D	5422	6339.1	5422	6339.1	0.22541	4.2051e+05	2.4197e+05	1.8643	0.96886	0.031137	0.062274	0.15583	True
brunello_RHOB_2	RHOB	2195.1	1643.1	2195.1	1643.1	-0.41762	1.5233e+05	87678	1.8641	0.031156	0.96884	0.062312	0.1559	False
brunello_FAR1_4	FAR1	2427.9	1843.9	2427.9	1843.9	-0.39673	1.705e+05	98182	1.8637	0.031185	0.96882	0.062369	0.15601	False
HGLibA_30869	IER5	6319.8	5320.8	6319.8	5320.8	-0.24819	4.99e+05	2.8739e+05	1.8635	0.031197	0.9688	0.062393	0.15605	False
HGLibA_30703	HTRA4	3423.3	4131.1	3423.3	4131.1	0.27106	2.5047e+05	1.4439e+05	1.8626	0.96874	0.031258	0.062516	0.15633	True
HGLibB_18705	GBP2	11099	12468	11099	12468	0.16787	9.38e+05	5.4088e+05	1.8624	0.96872	0.031275	0.062551	0.15637	True
HGLibB_57061	NonTargetingControlGuideForHuman_0033	15131	16761	15131	16761	0.1476	1.3285e+06	7.6604e+05	1.8624	0.96872	0.031276	0.062551	0.15637	True
brunello_RPL22_2	RPL22	2775.1	2146.2	2775.1	2146.2	-0.37065	1.978e+05	1.1408e+05	1.8622	0.031286	0.96871	0.062572	0.15639	False
moffat_ZBTB42_1	ZBTB42	2814.6	3448.5	2814.6	3448.5	0.29293	2.009e+05	1.159e+05	1.8619	0.96869	0.031308	0.062616	0.15648	True
brunello_RAPH1_4	RAPH1	2582.8	1978.8	2582.8	1978.8	-0.38411	1.8238e+05	1.0524e+05	1.8617	0.031322	0.96868	0.062644	0.15652	False
brunello_RALA_3	RALA	2881.7	2239.5	2881.7	2239.5	-0.36361	2.0622e+05	1.1901e+05	1.8616	0.031328	0.96867	0.062657	0.15653	False
brunello_TMEM229B_1	TMEM229B	3922.5	4685.9	3922.5	4685.9	0.25649	2.9137e+05	1.6823e+05	1.8612	0.96864	0.031359	0.062719	0.15666	True
brunello_ENTPD7_2	ENTPD7	2337.1	2907.9	2337.1	2907.9	0.31511	1.6288e+05	94072	1.8609	0.96862	0.031379	0.062759	0.15673	True
HGLibA_65207	ZNFX1	5155.7	4266	5155.7	4266	-0.27323	3.9579e+05	2.2866e+05	1.8606	0.031402	0.9686	0.062805	0.15682	False
brunello_IRF8_3	IRF8	6239.9	5249.8	6239.9	5249.8	-0.24921	4.9013e+05	2.8331e+05	1.8601	0.031435	0.96856	0.06287	0.15696	False
HGLibA_40819	NPTX1	5736.7	4792.4	5736.7	4792.4	-0.25944	4.4592e+05	2.5779e+05	1.86	0.031444	0.96856	0.062888	0.15698	False
HGLibA_21247	GRHL1	12576	11109	12576	11109	-0.17896	1.0765e+06	6.224e+05	1.8598	0.031454	0.96855	0.062907	0.157	False
brunello_CHST7_1	CHST7	5913.3	6873.6	5913.3	6873.6	0.21707	4.6108e+05	2.6672e+05	1.8594	0.96852	0.031484	0.062969	0.15713	True
HGLibB_49106	TFEC	1925.7	2437.3	1925.7	2437.3	0.3397	1.3083e+05	75697	1.8592	0.9685	0.031498	0.062995	0.15717	True
HGLibA_58758	TMEM62	5009.7	4135.1	5009.7	4135.1	-0.27672	3.824e+05	2.2141e+05	1.8586	0.031543	0.96846	0.063086	0.15737	False
brunello_PLAUR_4	PLAUR	2715	3334.9	2715	3334.9	0.2966	1.9215e+05	1.1131e+05	1.8581	0.96842	0.031576	0.063151	0.15751	True
brunello_UBA7_1	UBA7	3996.5	3226.4	3996.5	3226.4	-0.30874	2.9655e+05	1.718e+05	1.858	0.031582	0.96842	0.063163	0.15751	False
brunello_MREG_1	MREG	1780.7	2269.9	1780.7	2269.9	0.35001	1.1966e+05	69329	1.8579	0.96841	0.03159	0.063179	0.15753	True
brunello_RXFP1_2	RXFP1	2226.6	1672.5	2226.6	1672.5	-0.41263	1.5352e+05	89095	1.8564	0.031697	0.9683	0.063395	0.15804	False
brunello_ZNF257_1	ZNF257	7018.3	5962.8	7018.3	5962.8	-0.23508	5.5698e+05	3.2329e+05	1.8563	0.031708	0.96829	0.063417	0.15807	False
brunello_FOSL1_3	FOSL1	3408.5	2705	3408.5	2705	-0.33339	2.4744e+05	1.4369e+05	1.8558	0.031739	0.96826	0.063478	0.1582	False
HGLibA_01958	ANKFY1	5798.9	6746.9	5798.9	6746.9	0.2184	4.493e+05	2.6093e+05	1.8558	0.96826	0.031744	0.063488	0.1582	True
HGLibA_42975	OSGIN1	5319.4	6222.5	5319.4	6222.5	0.22618	4.0774e+05	2.3683e+05	1.8556	0.96824	0.031756	0.063511	0.15823	True
HGLibA_53424	SLC40A1	7242.2	8315.9	7242.2	8315.9	0.19942	5.7641e+05	3.349e+05	1.8554	0.96823	0.031773	0.063546	0.15828	True
brunello_CDK17_3	CDK17	3061.2	3723.3	3061.2	3723.3	0.2824	2.1919e+05	1.2736e+05	1.8553	0.96822	0.03178	0.063559	0.15828	True
brunello_FOS_1	FOS	713.27	420.92	713.27	420.92	-0.75951	42735	24833	1.8552	0.03178	0.96822	0.063561	0.15828	False
brunello_ECEL1_2	ECEL1	4045.8	4819.8	4045.8	4819.8	0.25247	2.9949e+05	1.7418e+05	1.8544	0.96816	0.031839	0.063677	0.15854	True
brunello_AIDA_2	AIDA	2587.7	3189.8	2587.7	3189.8	0.30171	1.8129e+05	1.0547e+05	1.8541	0.96814	0.03186	0.063719	0.15862	True
HGLibA_54837	SPATS2L	1930.7	1420	1930.7	1420	-0.44298	1.3041e+05	75915	1.8536	0.031902	0.9681	0.063803	0.15878	False
HGLibA_58399	TMEM184A	2928.1	3573.2	2928.1	3573.2	0.2872	2.0812e+05	1.2116e+05	1.8535	0.9681	0.031903	0.063806	0.15878	True
HGLibB_41425	RNF114	4666.4	5504.4	4666.4	5504.4	0.23824	3.5115e+05	2.0444e+05	1.8534	0.96809	0.031911	0.063822	0.1588	True
HGLibA_17568	FAM26F	7601.3	6499.4	7601.3	6499.4	-0.22592	6.0714e+05	3.536e+05	1.8531	0.031932	0.96807	0.063864	0.15888	False
HGLibB_25339	KPNB1	2445.6	3028.6	2445.6	3028.6	0.30831	1.6991e+05	98989	1.8528	0.96804	0.031956	0.063911	0.15897	True
moffat_OSBPL9_2	OSBPL9	3166.8	2493	3166.8	2493	-0.34499	2.2697e+05	1.323e+05	1.8523	0.031989	0.96801	0.063978	0.15911	False
HGLibA_03356	ASPHD2	5686.4	4750.8	5686.4	4750.8	-0.25931	4.3772e+05	2.5526e+05	1.8519	0.032018	0.96798	0.064036	0.15923	False
brunello_DAXX_1	DAXX	1705.7	2181.7	1705.7	2181.7	0.35486	1.1326e+05	66061	1.8517	0.96797	0.032033	0.064066	0.15926	True
HGLibA_11868	CXCL3	2808.7	3438.3	2808.7	3438.3	0.29172	1.9823e+05	1.1563e+05	1.8517	0.96796	0.032035	0.064071	0.15926	True
brunello_LDHAL6A_3	LDHAL6A	5814.7	4867.4	5814.7	4867.4	-0.25649	4.4865e+05	2.6173e+05	1.8516	0.032043	0.96796	0.064086	0.15928	False
brunello_TRIM69_1	TRIM69	2299.6	2862.2	2299.6	2862.2	0.31562	1.5826e+05	92380	1.851	0.96792	0.032082	0.064164	0.15944	True
HGLibA_48430	RAI14	3372	2674.6	3372	2674.6	-0.33417	2.4319e+05	1.4196e+05	1.851	0.032088	0.96791	0.064176	0.15945	False
HGLibB_11673	CTRL	8772.3	7579.6	8772.3	7579.6	-0.21082	7.1137e+05	4.1532e+05	1.8508	0.032096	0.9679	0.064192	0.15946	False
brunello_PCDH17_4	PCDH17	5664.7	6597.8	5664.7	6597.8	0.21993	4.3527e+05	2.5416e+05	1.8507	0.96789	0.032106	0.064213	0.15946	True
brunello_ZC3HAV1_1	ZC3HAV1	3323.7	2632	3323.7	2632	-0.3365	2.392e+05	1.3968e+05	1.8507	0.032109	0.96789	0.064219	0.15946	False
brunello_SPATC1_3	SPATC1	1316	1727.3	1316	1727.3	0.39203	84557	49378	1.8506	0.96789	0.032111	0.064221	0.15946	True
brunello_CPT1A_3	CPT1A	1509.4	1953.5	1509.4	1953.5	0.37183	98591	57590	1.8504	0.96787	0.03213	0.06426	0.15953	True
HGLibA_05382	C15orf27	3607.8	4331.9	3607.8	4331.9	0.26382	2.6217e+05	1.5315e+05	1.8503	0.96786	0.032136	0.064271	0.15953	True
brunello_CH25H_1	CH25H	4277.7	5074.3	4277.7	5074.3	0.24635	3.1735e+05	1.8542e+05	1.8501	0.96785	0.032147	0.064294	0.15956	True
HGLibA_59209	TNS1	6026.8	5061.2	6026.8	5061.2	-0.25188	4.6623e+05	2.7247e+05	1.8499	0.032162	0.96784	0.064324	0.1596	False
HGLibA_49284	RGAG4	10927	12276	10927	12276	0.16788	9.0939e+05	5.3149e+05	1.8499	0.96783	0.032166	0.064332	0.1596	True
HGLibB_09876	CLDN23	6391.8	5393.8	6391.8	5393.8	-0.24487	4.9799e+05	2.9107e+05	1.8498	0.032171	0.96783	0.064342	0.1596	False
HGLibA_33472	KLHL31	3734.1	4471.9	3734.1	4471.9	0.26007	2.7218e+05	1.5919e+05	1.8492	0.96779	0.032213	0.064426	0.15979	True
HGLibA_02846	ARHGEF3	2114.2	1578.2	2114.2	1578.2	-0.42159	1.4363e+05	84059	1.8486	0.032255	0.96775	0.06451	0.15996	False
brunello_SHISA5_3	SHISA5	3615.7	4340	3615.7	4340	0.26337	2.6233e+05	1.5353e+05	1.8486	0.96774	0.032258	0.064517	0.15996	True
brunello_ZNF780B_3	ZNF780B	2958.6	2311.5	2958.6	2311.5	-0.35597	2.094e+05	1.2258e+05	1.8484	0.032273	0.96773	0.064546	0.16	False
brunello_IL12RB1_2	IL12RB1	2514.7	1924	2514.7	1924	-0.38606	1.7443e+05	1.0213e+05	1.8482	0.032286	0.96771	0.064573	0.16005	False
brunello_HIC1_1	HIC1	2074.7	1544.7	2074.7	1544.7	-0.42532	1.4044e+05	82300	1.8474	0.032344	0.96766	0.064688	0.16031	False
HGLibB_08457	CD84	6748.9	7776.3	6748.9	7776.3	0.2044	5.2775e+05	3.0939e+05	1.847	0.96763	0.032371	0.064741	0.16041	True
HGLibB_19736	GPC2	3482.5	2774	3482.5	2774	-0.32805	2.5099e+05	1.472e+05	1.8467	0.032397	0.9676	0.064794	0.16052	False
brunello_TGM5_2	TGM5	2783	2158.3	2783	2158.3	-0.36659	1.9512e+05	1.1444e+05	1.8466	0.032402	0.9676	0.064804	0.16052	False
brunello_PLAC4_3	PLAC4	11328	9955	11328	9955	-0.18645	9.4329e+05	5.5348e+05	1.8462	0.032429	0.96757	0.064858	0.16062	False
brunello_AHRR_3	AHRR	3053.4	3711.2	3053.4	3711.2	0.2814	2.1636e+05	1.2699e+05	1.8459	0.96755	0.03245	0.064901	0.1607	True
brunello_SLCO4A1_3	SLCO4A1	2349.9	1782.1	2349.9	1782.1	-0.39889	1.6125e+05	94652	1.8459	0.032455	0.96754	0.06491	0.1607	False
HGLibA_09335	CHAC1	2765.3	2143.1	2765.3	2143.1	-0.36756	1.9354e+05	1.1362e+05	1.8457	0.032468	0.96753	0.064935	0.16074	False
brunello_MKX_3	MKX	2884.7	2247.6	2884.7	2247.6	-0.35987	2.0292e+05	1.1914e+05	1.8456	0.032474	0.96753	0.064948	0.16074	False
HGLibA_61325	UNC93B1	7750.3	8859.6	7750.3	8859.6	0.19296	6.1524e+05	3.6139e+05	1.8452	0.9675	0.032502	0.065005	0.16086	True
moffat_C1orf74_5	C1orf74	3719.3	4453.6	3719.3	4453.6	0.25989	2.6963e+05	1.5848e+05	1.8447	0.96746	0.032544	0.065088	0.16102	True
brunello_IFI35_3	IFI35	1883.3	2384.5	1883.3	2384.5	0.34027	1.2561e+05	73828	1.8446	0.96745	0.032546	0.065091	0.16102	True
HGLibA_12761	DDX60	2290.8	1731.3	2290.8	1731.3	-0.40373	1.5647e+05	91980	1.8445	0.032552	0.96745	0.065105	0.16103	False
HGLibB_35799	PDGFC	3837.7	3090.4	3837.7	3090.4	-0.31232	2.7916e+05	1.6415e+05	1.8442	0.032574	0.96743	0.065147	0.16111	False
HGLibA_21424	GSG2	4298.4	5094.6	4298.4	5094.6	0.24513	3.1701e+05	1.8643e+05	1.8441	0.96742	0.032582	0.065165	0.16112	True
brunello_HCN3_3	HCN3	2989.2	2339.9	2989.2	2339.9	-0.35319	2.1082e+05	1.24e+05	1.844	0.032595	0.96741	0.06519	0.16116	False
brunello_GNG4_1	GNG4	7385.3	8464	7385.3	8464	0.19666	5.8183e+05	3.4233e+05	1.8437	0.96739	0.032614	0.065228	0.16123	True
brunello_FAM170B_1	FAM170B	2119.1	2654.3	2119.1	2654.3	0.32475	1.4323e+05	84279	1.8436	0.96738	0.032619	0.065238	0.16123	True
brunello_CLDND1_4	CLDND1	2890.6	3527.6	2890.6	3527.6	0.28724	2.029e+05	1.1942e+05	1.8434	0.96736	0.032636	0.065272	0.16129	True
HGLibA_54572	SP100	6814.1	5783.3	6814.1	5783.3	-0.23658	5.3122e+05	3.1275e+05	1.8431	0.032654	0.96735	0.065309	0.16133	False
HGLibB_23540	IRF2	3599.9	2879.5	3599.9	2879.5	-0.32205	2.595e+05	1.5278e+05	1.8431	0.032656	0.96734	0.065312	0.16133	False
brunello_TLX2_1	TLX2	1598.2	2054.9	1598.2	2054.9	0.36241	1.0428e+05	61406	1.843	0.96733	0.032667	0.065335	0.16136	True
HGLibA_44709	PHLDA2	3021.8	3674.7	3021.8	3674.7	0.28213	2.1312e+05	1.2552e+05	1.8428	0.96732	0.03268	0.06536	0.1614	True
HGLibB_22705	IFRD1	1732.4	2210.1	1732.4	2210.1	0.35117	1.141e+05	67220	1.8425	0.9673	0.032702	0.065404	0.16145	True
HGLibA_22365	HIST1H1D	4480.9	3666.5	4480.9	3666.5	-0.28929	3.3157e+05	1.9534e+05	1.8425	0.032702	0.9673	0.065404	0.16145	False
brunello_NBN_3	NBN	4256.9	3465.7	4256.9	3465.7	-0.29658	3.1301e+05	1.8442e+05	1.8424	0.032705	0.96729	0.065411	0.16145	False
brunello_HLA-DRA_1	HLA-DRA	3697.6	2966.7	3697.6	2966.7	-0.31762	2.6708e+05	1.5744e+05	1.8419	0.032742	0.96726	0.065483	0.1616	False
brunello_ZFYVE16_1	ZFYVE16	3896.8	3144.2	3896.8	3144.2	-0.30952	2.8324e+05	1.67e+05	1.8418	0.032754	0.96725	0.065508	0.16164	False
HGLibB_46868	SRBD1	5146.8	4267	5146.8	4267	-0.2704	3.8703e+05	2.2822e+05	1.8417	0.032762	0.96724	0.065524	0.16165	False
HGLibA_58162	TMEM110	3875.1	3124.9	3875.1	3124.9	-0.31034	2.8141e+05	1.6595e+05	1.8416	0.032768	0.96723	0.065536	0.16165	False
brunello_HLA-DRA_2	HLA-DRA	5369.8	4468.8	5369.8	4468.8	-0.26491	4.0584e+05	2.3935e+05	1.8415	0.032773	0.96723	0.065547	0.16165	False
HGLibB_48285	TARS	7130.7	6074.4	7130.7	6074.4	-0.23127	5.5793e+05	3.2911e+05	1.8413	0.032787	0.96721	0.065574	0.16169	False
HGLibB_25344	KPTN	11178	9818	11178	9818	-0.18708	9.2413e+05	5.452e+05	1.8412	0.032795	0.9672	0.06559	0.16171	False
brunello_CBY3_1	CBY3	262.42	428.02	262.42	428.02	0.70367	13711	8089.1	1.8412	0.96715	0.032854	0.065708	0.16192	True
HGLibA_57608	THBD	6150.1	7122.1	6150.1	7122.1	0.21166	4.7241e+05	2.7874e+05	1.8411	0.9672	0.032805	0.06561	0.16173	True
HGLibA_50972	SAMD4A	7567.8	6476	7567.8	6476	-0.22472	5.9594e+05	3.5185e+05	1.8405	0.032846	0.96715	0.065693	0.16191	False
brunello_TRIM6-TRIM34_3	TRIM6-TRIM34	5726.9	4793.4	5726.9	4793.4	-0.25666	4.3571e+05	2.573e+05	1.8403	0.03286	0.96714	0.065719	0.16192	False
brunello_IFI44_1	IFI44	2563	3157.4	2563	3157.4	0.30077	1.7662e+05	1.0434e+05	1.84	0.96712	0.032884	0.065767	0.162	True
HGLibA_61980	VMO1	5601.6	4679.8	5601.6	4679.8	-0.25934	4.2486e+05	2.5098e+05	1.84	0.032885	0.96711	0.06577	0.162	False
HGLibB_28010	MAMLD1	9124.5	10336	9124.5	10336	0.17988	7.342e+05	4.3409e+05	1.8392	0.96706	0.032942	0.065885	0.16225	True
HGLibB_32673	NRP2	1573.5	1121.8	1573.5	1121.8	-0.48786	1.0205e+05	60343	1.8391	0.032952	0.96705	0.065904	0.16228	False
brunello_OAS2_4	OAS2	2233.5	1683.7	2233.5	1683.7	-0.40751	1.5118e+05	89405	1.839	0.03296	0.96704	0.065919	0.16229	False
HGLibA_36464	MAP3K14	1956.3	2466.7	1956.3	2466.7	0.33428	1.3023e+05	77048	1.8386	0.96702	0.032984	0.065967	0.16238	True
HGLibA_51548	SEC62	10784	12114	10784	12114	0.16782	8.8499e+05	5.2369e+05	1.8384	0.967	0.032999	0.065999	0.16243	True
HGLibA_19918	GEMIN5	5247.4	6135.3	5247.4	6135.3	0.22547	3.9412e+05	2.3324e+05	1.8384	0.967	0.033005	0.06601	0.16243	True
HGLibA_12753	DDX58	2222.7	1674.5	2222.7	1674.5	-0.40832	1.5023e+05	88917	1.8382	0.033015	0.96699	0.066029	0.16245	False
HGLibA_12764	DDX60L	6124.5	5156.5	6124.5	5156.5	-0.24815	4.6848e+05	2.7744e+05	1.8377	0.033051	0.96695	0.066103	0.16261	False
HGLibA_38672	MTHFD2L	3644.3	2921.1	3644.3	2921.1	-0.31905	2.6153e+05	1.5489e+05	1.8376	0.033059	0.96694	0.066119	0.16262	False
HGLibA_12791	DEFA1	4436.5	5243.7	4436.5	5243.7	0.24112	3.2581e+05	1.9317e+05	1.8367	0.96687	0.03313	0.066261	0.16295	True
brunello_SLC1A1_4	SLC1A1	2525.6	3113.8	2525.6	3113.8	0.30196	1.73e+05	1.0263e+05	1.8362	0.96683	0.033166	0.066333	0.1631	True
HGLibB_23729	ITGAV	2536.4	3125.9	2536.4	3125.9	0.3014	1.7378e+05	1.0312e+05	1.8359	0.96681	0.033189	0.066378	0.16318	True
HGLibA_34673	LGALS9B	4081.3	4851.2	4081.3	4851.2	0.24925	2.9635e+05	1.759e+05	1.8356	0.96679	0.033205	0.066411	0.16324	True
brunello_JUNB_3	JUNB	3202.3	2530.6	3202.3	2530.6	-0.33953	2.2562e+05	1.3397e+05	1.8353	0.033232	0.96677	0.066465	0.16334	False
HGLibA_08159	CCR5	1436.4	1008.2	1436.4	1008.2	-0.51029	91692	54474	1.8348	0.033268	0.96673	0.066536	0.16349	False
brunello_PARP12_2	PARP12	2315.4	1755.7	2315.4	1755.7	-0.39904	1.5665e+05	93092	1.8345	0.033287	0.96671	0.066574	0.16356	False
HGLibA_44595	PHACTR4	3544.7	2833.8	3544.7	2833.8	-0.32278	2.5263e+05	1.5015e+05	1.8344	0.033297	0.9667	0.066595	0.16357	False
brunello_IFIT1_3	IFIT1	544.57	296.16	544.57	296.16	-0.87651	30853	18346	1.8344	0.0333	0.9667	0.066601	0.16357	False
brunello_MICA_3	MICA	2493	3076.2	2493	3076.2	0.30318	1.7009e+05	1.0114e+05	1.834	0.96667	0.03333	0.066661	0.16369	True
brunello_NABP1_2	NABP1	3661.1	4384.6	3661.1	4384.6	0.26013	2.6178e+05	1.557e+05	1.8338	0.96666	0.033343	0.066686	0.16373	True
brunello_BHLHE40_3	BHLHE40	3911.6	4662.5	3911.6	4662.5	0.25328	2.8193e+05	1.6771e+05	1.8336	0.96664	0.033356	0.066712	0.16376	True
brunello_MTHFD2L_1	MTHFD2L	3848.5	4592.6	3848.5	4592.6	0.25494	2.7681e+05	1.6467e+05	1.8336	0.96664	0.033359	0.066718	0.16376	True
HGLibB_42519	S100A8	3891.9	3143.2	3891.9	3143.2	-0.30816	2.8029e+05	1.6676e+05	1.8335	0.033365	0.96663	0.06673	0.16376	False
brunello_IRF7_1	IRF7	2015.5	1498.1	2015.5	1498.1	-0.4278	1.3388e+05	79669	1.8332	0.033383	0.96662	0.066766	0.16382	False
brunello_USP37_1	USP37	1735.3	1259.7	1735.3	1259.7	-0.46181	1.1311e+05	67349	1.8327	0.033423	0.96658	0.066846	0.16399	False
HGLibA_39541	NCAM1	2314.4	2873.4	2314.4	2873.4	0.31198	1.5622e+05	93047	1.8325	0.96656	0.033442	0.066884	0.16406	True
HGLibA_23122	HS3ST1	4633.8	3808.5	4633.8	3808.5	-0.28289	3.4052e+05	2.0284e+05	1.8323	0.03345	0.96655	0.0669	0.16407	False
HGLibA_45069	PIWIL4	5667.7	6591.7	5667.7	6591.7	0.21785	4.2687e+05	2.5431e+05	1.8322	0.96654	0.033459	0.066918	0.16409	True
HGLibA_05911	C1QA	2815.6	2191.8	2815.6	2191.8	-0.36117	1.9455e+05	1.1595e+05	1.8319	0.033483	0.96652	0.066966	0.16418	False
HGLibA_43661	PCBP3	7157.4	8210.4	7157.4	8210.4	0.198	5.5446e+05	3.3049e+05	1.8318	0.96651	0.033493	0.066987	0.16421	True
brunello_B3GALT4_4	B3GALT4	2632.1	2031.6	2632.1	2031.6	-0.37346	1.8032e+05	1.075e+05	1.8316	0.033503	0.9665	0.067007	0.16423	False
HGLibB_01443	AKAP8	5696.3	4770.1	5696.3	4770.1	-0.25597	4.2896e+05	2.5575e+05	1.8315	0.033511	0.96649	0.067022	0.16424	False
HGLibB_04314	BCL2L14	3905.7	3156.4	3905.7	3156.4	-0.30723	2.8076e+05	1.6742e+05	1.8314	0.033522	0.96648	0.067044	0.16425	False
HGLibA_40532	NOD1	6321.8	7303.7	6321.8	7303.7	0.20826	4.8207e+05	2.8749e+05	1.8313	0.96647	0.033528	0.067056	0.16425	True
brunello_HIST1H2BC_3	HIST1H2BC	3367.1	2677.6	3367.1	2677.6	-0.33042	2.3766e+05	1.4173e+05	1.8313	0.033528	0.96647	0.067057	0.16425	False
brunello_ITGB7_1	ITGB7	2365.7	2931.2	2365.7	2931.2	0.30909	1.5988e+05	95366	1.8311	0.96646	0.033541	0.067081	0.16426	True
HGLibA_06324	C4orf33	5740.7	6670.8	5740.7	6670.8	0.2166	4.3253e+05	2.5799e+05	1.8311	0.96646	0.033541	0.067081	0.16426	True
HGLibA_49429	RHBDL3	2735.7	3349.1	2735.7	3349.1	0.29177	1.8813e+05	1.1226e+05	1.8308	0.96643	0.033568	0.067136	0.16436	True
HGLibA_52102	SGIP1	611.66	876.32	611.66	876.32	0.51802	35023	20900	1.8307	0.96643	0.033572	0.067144	0.16436	True
brunello_ALDH1A2_3	ALDH1A2	4899.2	5749.8	4899.2	5749.8	0.23094	3.6181e+05	2.1593e+05	1.8306	0.96642	0.033578	0.067157	0.16436	True
HGLibA_22568	HIVEP1	10706	9387	10706	9387	-0.18967	8.6988e+05	5.1944e+05	1.8301	0.033616	0.96638	0.067232	0.16452	False
HGLibB_52208	TUBB1	2753.4	2138.1	2753.4	2138.1	-0.36478	1.8935e+05	1.1308e+05	1.83	0.033623	0.96638	0.067245	0.16453	False
brunello_OLFML3_2	OLFML3	5020.5	4158.5	5020.5	4158.5	-0.27173	3.7157e+05	2.2194e+05	1.8298	0.033637	0.96636	0.067273	0.16457	False
moffat_BTBD19_4	BTBD19	2123	1591.4	2123	1591.4	-0.41563	1.4134e+05	84456	1.8295	0.033664	0.96634	0.067328	0.16468	False
HGLibA_08454	CD80	3189.5	2521.4	3189.5	2521.4	-0.33896	2.2314e+05	1.3337e+05	1.8293	0.033678	0.96632	0.067356	0.16469	False
HGLibA_21980	HCN3	7448.4	8523.8	7448.4	8523.8	0.19455	5.7827e+05	3.4562e+05	1.8293	0.96632	0.033678	0.067356	0.16469	True
brunello_ETNK1_1	ETNK1	3096.8	3753.8	3096.8	3753.8	0.2775	2.1583e+05	1.2902e+05	1.8291	0.96631	0.033691	0.067381	0.16469	True
brunello_MRC2_3	MRC2	2997.1	2352.1	2997.1	2352.1	-0.34952	2.0805e+05	1.2437e+05	1.8291	0.033693	0.96631	0.067386	0.16469	False
HGLibB_37125	PLIN2	5792	4858.3	5792	4858.3	-0.25356	4.3589e+05	2.6058e+05	1.8291	0.033694	0.96631	0.067388	0.16469	False
brunello_APOF_4	APOF	3086.9	2431.2	3086.9	2431.2	-0.34437	2.1498e+05	1.2856e+05	1.8288	0.033716	0.96628	0.067432	0.16477	False
brunello_BTN3A2_1	BTN3A2	3325.6	2642.1	3325.6	2642.1	-0.33181	2.3358e+05	1.3977e+05	1.8282	0.033761	0.96624	0.067521	0.16497	False
brunello_HRH1_2	HRH1	5159.6	4285.2	5159.6	4285.2	-0.26783	3.8227e+05	2.2886e+05	1.8277	0.033794	0.96621	0.067589	0.16507	False
HGLibA_46464	PPP2R5C	6981.8	5945.6	6981.8	5945.6	-0.23174	5.3684e+05	3.214e+05	1.8277	0.033795	0.9662	0.06759	0.16507	False
brunello_HRASLS5_3	HRASLS5	1036.9	681.58	1036.9	681.58	-0.60453	63110	37786	1.8277	0.033798	0.9662	0.067597	0.16507	False
brunello_TNIK_3	TNIK	625.47	358.03	625.47	358.03	-0.80312	35761	21430	1.827	0.033851	0.96615	0.067702	0.1653	False
HGLibB_46493	SPATS2L	3207.3	3876.5	3207.3	3876.5	0.27334	2.2394e+05	1.342e+05	1.8269	0.96614	0.03386	0.067719	0.16532	True
brunello_KIR3DL3_2	KIR3DL3	2720.9	2110.7	2720.9	2110.7	-0.36622	1.8618e+05	1.1158e+05	1.8268	0.033864	0.96614	0.067729	0.16532	False
brunello_SLC23A3_3	SLC23A3	2545.3	1957.5	2545.3	1957.5	-0.37863	1.7273e+05	1.0353e+05	1.8267	0.03387	0.96613	0.06774	0.16532	False
HGLibA_21597	GTPBP1	5657.8	4737.6	5657.8	4737.6	-0.25604	4.2341e+05	2.5381e+05	1.8266	0.033883	0.96612	0.067766	0.16535	False
HGLibA_04560	BLOC1S2	6043.6	6998.4	6043.6	6998.4	0.21159	4.5584e+05	2.7332e+05	1.8263	0.9661	0.033899	0.067798	0.16538	True
HGLibB_19287	GLRX	4056.7	3293.3	4056.7	3293.3	-0.30068	2.9137e+05	1.747e+05	1.8263	0.033899	0.9661	0.067799	0.16538	False
brunello_FZD5_3	FZD5	2220.7	2764.9	2220.7	2764.9	0.31606	1.4806e+05	88829	1.8258	0.96606	0.033941	0.067882	0.16555	True
brunello_NFKB1_4	NFKB1	5695.3	4772.1	5695.3	4772.1	-0.25511	4.2617e+05	2.557e+05	1.8257	0.033944	0.96606	0.067889	0.16555	False
